Brand,Model,Engine(cc),Top Speed(kmph),Mileage(kmpl),Rating(out of 5),Review Count,Min Price,Max Price
Kawasaki,KLX 230,233.0,77.0,40.0,,,330000.0,330000.0
Simple Energy,OneS,,105.0,,,,140000.0,140000.0
Royal Enfield,Goan Classic 350,349.0,105.0,36.2,5.0,1,235000.0,238000.0
Kawasaki,Ninja 1100SX,1099.0,249.0,17.85,,,1349000.0,1349000.0
Kawasaki,KLX 230,233.0,77.0,40.0,,,330000.0,330000.0
KTM,390 Adventure X,398.63,160.0,30.0,,,291000.0,291000.0
Kawasaki,Versys 1100,1099.0,,17.85,,,1290000.0,1290000.0
Triumph,Speed Twin 900,900.0,180.0,,,,889000.0,889000.0
Ola Electric,S1 Z,,70.0,,4.0,2,59999.0,64999.0
KTM,1290 Super Adventure S,1301.0,230.0,17.5,,,2274000.0,2274000.0
Honda,CB300F Flex-Fuel,293.52,155.0,30.0,4.0,1,170000.0,170000.0
KTM,890 Adventure R,889.0,210.0,22.22,,,1580000.0,1580000.0
KTM,85 SX,84.9,,,,,669000.0,669000.0
KTM,50 SX,49.9,,,,,475000.0,475000.0
KTM,65 SX,64.9,,,,,547000.0,547000.0
KTM,350 EXC-F,349.7,,,,,1296000.0,1296000.0
Triumph,Daytona 660,660.0,220.0,20.0,5.0,1,972000.0000000001,972000.0000000001
BMW,R 12 nine T,1170.0,215.0,19.6,,,2110000.0,2110000.0
Revolt Motors,RV1,,70.0,,,,89990.0,105000.0
Honda,NX500,471.0,182.0,27.78,4.0,1,590000.0,590000.0
Warivo Motors,CRX,,55.0,,,,79999.0,79999.0
Sokudo,Rapid,,70.0,,,,82889.0,82889.0
Sokudo,Plus,,50.0,,,,59889.0,59889.0
Numeros,Diplos pro,,63.0,,,,120000.0,120000.0
NIJ Automotive,Accelero Plus,,25.0,,,,55200.0,77625.0
